x0,x1,x2,x3,y
1.20526e+00,1.11018e+00,9.20846e-01,9.27697e-01,1.00000e+00
8.68858e-01,1.16653e+00,1.23039e+00,7.92822e-01,1.00000e+00
9.98207e-01,1.08129e+00,8.36234e-01,7.42493e-01,1.00000e+00
1.04834e+00,1.02057e+00,1.38364e+00,9.00506e-01,1.00000e+00
1.13912e+00,1.14914e+00,1.03886e+00,1.02555e+00,1.00000e+00
6.58025e-01,8.93234e-01,1.00629e+00,7.58283e-01,1.00000e+00
7.98254e-01,7.90088e-01,1.07507e+00,7.73502e-01,1.00000e+00
9.17692e-01,7.91034e-01,1.04595e+00,1.00102e+00,1.00000e+00
6.13681e-01,9.66164e-01,1.02759e+00,9.00075e-01,1.00000e+00
1.34944e+00,1.13968e+00,1.00099e+00,8.15217e-01,1.00000e+00
9.46315e-01,8.54290e-01,9.22723e-01,1.11033e+00,1.00000e+00
9.74562e-01,1.12650e+00,7.11523e-01,1.01237e+00,1.00000e+00
9.32736e-01,9.41350e-01,1.12530e+00,9.69070e-01,1.00000e+00
1.12012e+00,9.84011e-01,1.17623e+00,1.08109e+00,1.00000e+00
1.12942e+00,8.15801e-01,9.68857e-01,7.26870e-01,1.00000e+00
7.71616e-01,6.72634e-01,8.99063e-01,8.84581e-01,1.00000e+00
1.03929e+00,9.28726e-01,1.20927e+00,5.78715e-01,1.00000e+00
1.08189e+00,1.12052e+00,8.31527e-01,8.43091e-01,1.00000e+00
1.04613e+00,1.26987e+00,1.03756e+00,9.48409e-01,1.00000e+00
1.89301e+00,1.96910e+00,1.97422e+00,1.81421e+00,2.00000e+00
1.71687e+00,1.91873e+00,2.07983e+00,1.93200e+00,2.00000e+00
1.88880e+00,2.05723e+00,1.92999e+00,1.95070e+00,2.00000e+00
1.87875e+00,2.04277e+00,2.01139e+00,1.74416e+00,2.00000e+00
1.88140e+00,1.99949e+00,2.10975e+00,2.25943e+00,2.00000e+00
2.20872e+00,1.95633e+00,1.94434e+00,2.15370e+00,2.00000e+00
2.07160e+00,2.20138e+00,2.09441e+00,1.99340e+00,2.00000e+00
2.09126e+00,2.12800e+00,1.89216e+00,1.98461e+00,2.00000e+00
2.02808e+00,1.88290e+00,2.00838e+00,2.07566e+00,2.00000e+00
2.16414e+00,2.14338e+00,1.99128e+00,2.31944e+00,2.00000e+00
1.88207e+00,1.80492e+00,2.02230e+00,1.96703e+00,2.00000e+00
1.85796e+00,1.96490e+00,1.74561e+00,2.12388e+00,2.00000e+00
2.03082e+00,1.75312e+00,2.05109e+00,1.77753e+00,2.00000e+00
2.05789e+00,1.87832e+00,2.00491e+00,2.26588e+00,2.00000e+00
2.20541e+00,1.93523e+00,1.78665e+00,2.00591e+00,2.00000e+00
2.32740e+00,2.07024e+00,1.81751e+00,1.93877e+00,2.00000e+00
1.91599e+00,2.05612e+00,1.82741e+00,1.91288e+00,2.00000e+00
1.63693e+00,2.01091e+00,2.15803e+00,2.10934e+00,2.00000e+00
1.83633e+00,2.02387e+00,2.22648e+00,1.94118e+00,2.00000e+00
1.82886e+00,1.83786e+00,2.03519e+00,2.06336e+00,2.00000e+00
1.83747e+00,2.02288e+00,2.01879e+00,1.91581e+00,2.00000e+00
1.82003e+00,1.92685e+00,2.02767e+00,1.94972e+00,2.00000e+00
2.02452e+00,2.06474e+00,1.87380e+00,2.01790e+00,2.00000e+00
1.93621e+00,1.98313e+00,2.06100e+00,2.08108e+00,2.00000e+00
2.12885e+00,1.96723e+00,1.76303e+00,2.16921e+00,2.00000e+00
3.05444e+00,2.80193e+00,2.87563e+00,2.78624e+00,3.00000e+00
3.29388e+00,2.87348e+00,3.16594e+00,2.98261e+00,3.00000e+00
3.03448e+00,3.07068e+00,3.22501e+00,3.06108e+00,3.00000e+00
2.74722e+00,3.00091e+00,3.00306e+00,3.03475e+00,3.00000e+00
2.87848e+00,2.91141e+00,3.10089e+00,2.96664e+00,3.00000e+00
3.14370e+00,3.17398e+00,3.03153e+00,3.11296e+00,3.00000e+00
2.84551e+00,3.14600e+00,3.35480e+00,3.08124e+00,3.00000e+00
2.85213e+00,3.04568e+00,3.01938e+00,2.95088e+00,3.00000e+00
3.23062e+00,2.99455e+00,3.01807e+00,3.10138e+00,3.00000e+00
2.87467e+00,2.89885e+00,3.20988e+00,2.97430e+00,3.00000e+00
2.89853e+00,2.91340e+00,3.15804e+00,2.58325e+00,3.00000e+00
2.81560e+00,2.79082e+00,3.18329e+00,2.84480e+00,3.00000e+00
2.88616e+00,2.93637e+00,3.06766e+00,3.10579e+00,3.00000e+00
3.11810e+00,2.88268e+00,2.95842e+00,3.13495e+00,3.00000e+00
2.85168e+00,2.88940e+00,3.19571e+00,2.67455e+00,3.00000e+00
2.84820e+00,2.74698e+00,2.77084e+00,2.97492e+00,3.00000e+00
2.96210e+00,2.81538e+00,2.73527e+00,3.12183e+00,3.00000e+00
3.08141e+00,3.21221e+00,3.00502e+00,2.89496e+00,3.00000e+00
2.97854e+00,3.36540e+00,2.98322e+00,2.89564e+00,3.00000e+00
3.11747e+00,3.03281e+00,2.81750e+00,3.13934e+00,3.00000e+00
2.97126e+00,2.99973e+00,3.06239e+00,3.13505e+00,3.00000e+00
2.93826e+00,3.06140e+00,2.81166e+00,3.07392e+00,3.00000e+00
3.03929e+00,2.85394e+00,2.84962e+00,2.91772e+00,3.00000e+00
2.98148e+00,2.81465e+00,2.73077e+00,2.91807e+00,3.00000e+00
3.13359e+00,3.21334e+00,2.81970e+00,3.03656e+00,3.00000e+00
